feature,importance
REGION_RATING_CLIENT_W_CITY,1533.779296875
CC_SK_DPD_SUM,1531.592414855957
CC_AMT_BALANCE_MIN,1509.5878067016602
DOC_DIVERSITY_SCORE,1496.0440921783447
BB_BB_STATUS_DPD_SUM,1444.176197052002
BUREAU_CNT_CREDIT_PROLONG_MEAN,1400.5733909606934
FLOORSMIN_MODE,1381.88570022583
CC_AMT_BALANCE_SUM,1374.1448097229004
CC_AMT_RECIVABLE_SUM,1342.6349058151245
BB_MONTHS_BALANCE_MAX,1310.3081893920898
AMT_REQ_CREDIT_BUREAU_DAY,1310.2427062988281
CC_RECENT_CC_UNDERPAYING,1295.1493072509766
DOC_SUPPLEMENTARY_RATE,1273.1630020141602
DOC_ESSENTIAL_RATE,1266.9620056152344
EMERGENCYSTATE_MODE,1249.529712677002
DOC_OPTIONAL_COUNT,1196.4262008666992
CC_AMT_BALANCE_MEAN,1187.642002105713
CC_CC_DPD_SEVERITY_MEAN,1164.084400177002
HOUSETYPE_MODE,1149.0433082580566
GEO_REGION_RISK_SCORE,1140.5793838500977
BB_BB_STATUS_2_MEAN,1109.6968955993652
INST_AVG_DAYS_LATE,1100.9536018371582
BUREAU_PROLONG_RATE,1085.8726997375488
CC_AMT_RECIVABLE_MEAN,1072.6766204833984
CC_FREQUENT_OVER_LIMIT,1072.183307647705
FLAG_EMAIL,1007.7310943603516
CC_AMT_TOTAL_RECEIVABLE_MEAN,990.2845001220703
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,979.0549011230469
INST_PAYMENT_PLAN_CHANGES,977.3298034667969
BUREAU_OVERDUE_RATIO,960.8456954956055
LIVE_CITY_NOT_WORK_CITY,919.3361968994141
GEO_HAS_BASEMENT,845.9190979003906
REG_REGION_NOT_WORK_REGION,843.5511894226074
POS_POS_HAS_DPD_DEF_SUM,842.8991088867188
REG_CITY_NOT_WORK_CITY,837.276496887207
CC_AMT_TOTAL_RECEIVABLE_SUM,794.3336925506592
DOC_MISSING_CRITICAL,773.9523963928223
GEO_BUILDING_OLD,729.9970932006836
CC_AMT_TOTAL_RECEIVABLE_MAX,726.7615051269531
BUREAU_CNT_CREDIT_PROLONG_MAX,677.9165992736816
BUREAU_CREDIT_DAY_OVERDUE_MAX,677.7428131103516
CC_SK_DPD_MAX,658.7825965881348
FLAG_DOCUMENT_11,657.1994018554688
CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN,655.2747077941895
BB_BB_STATUS_4_SUM,643.6673984527588
CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,621.7091064453125
GEO_REGION_CITY_DIFF,620.5844955444336
GEO_HAS_COMMON_AREA,601.1284923553467
REG_REGION_NOT_LIVE_REGION,597.5365924835205
POS_POS_STATUS_COMPLETED_SUM,558.0962028503418
CC_SK_DPD_DEF_SUM,537.8553047180176
FLAG_DOCUMENT_6,530.4388046264648
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,528.9286956787109
DOC_GAPS,490.64989471435547
FLAG_DOCUMENT_8,489.68238162994385
DOC_OPTIONAL_RATE,480.20350646972656
LIVE_REGION_NOT_WORK_REGION,441.02589988708496
BB_BB_STATUS_2_SUM,433.7049045562744
CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,399.4046001434326
FLAG_DOCUMENT_13,381.6635036468506
BB_SERIOUS_DPD_RATE,376.27399826049805
BB_BB_STATUS_5_MEAN,361.9239044189453
PREV_RATE_INTEREST_PRIMARY_MAX,356.8734016418457
PREV_RATE_INTEREST_PRIMARY_MIN,300.0408058166504
FLAG_DOCUMENT_18,277.53690338134766
PREV_RATE_INTEREST_PRIMARY_MEAN,270.2042007446289
BB_BB_STATUS_3_MEAN,269.1162986755371
INST_HAS_BEEN_LATE,267.1748962402344
BUREAU_CREDIT_DAY_OVERDUE_SUM,251.69770050048828
CC_CC_OVER_LIMIT_MAX,217.0240020751953
AMT_REQ_CREDIT_BUREAU_WEEK,209.50139999389648
BB_BB_STATUS_5_SUM,197.1056022644043
REGION_RATING_CLIENT,195.89760208129883
